Group,Name,Job,Required Rank,Description,Cooldown,Icon
victory,Murderous Tribute,Pirate,15,"Upon defeating an enemy captain during a Conflict, seize their ship through a local prize court. We must pay the court 50% of the ship's value in tithes and fees and we will lose 90 Reputation with the enemy while striking a mighty blow in the Conflict",36 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/52/Talent_prize_ship_pirate_normal.png?version=27dca3d9ee2f276a3809a064c609a715
,Not Implemented,Pilot,11,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Pilot,11,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,1,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,1,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,1,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,1,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,5,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,5,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,5,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,5,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,8,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,8,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,11,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Not Implemented,Fighter Pilot,11,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
patrol,Obsessive Defense,Zealot,5,"When Patrolling a system, replace a card with a Pirate reward card",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/0/00/Talent_patrol_pirates_normal.png?version=db8f1417d6f96f6338c6e5a96595ca60
,One-Shot,Sniper,11,"In crew combat, Rifle Attack with +10% Ranged Damage, +15% Armor Piercing, +45% Critical; Requires Stealth Mode to use",Costs 2X Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
landing,Orderly Drop,Hyperwarp Navigator,5,"Lands efficiently in a zone, reduces operation time to 1 Turn and Fuel Cost to 1",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/d/db/Talent_nav_orderlydrop_normal.png?version=06fb4980af0193e991083f5a4ea8cf2a
,Ordnance Overhaul,Mechanic,8,Repairs Ship Weapons up to 10% plus Repair Skill,9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Overclocked Reactor,Engineer,5,"Buffs Ship with +2 Reactor Pts, +10 Range Change, Self-inflicts +10 Crew Dmg/Turn for next 2 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Overriding Discipline,Military Officer,8,"Buffs Ship with +10% Boarding, +10% Accuracy, +10% Dmg, +10% Defense for next 3 Turns, Purges Ship of any Crippling Ship Effects, Restores Command Skill worth of Morale to 10 Crew",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
boarding,Parting Gift,Sniper,8,"After a successful Boarding, firing one final shot with deadly accuracy kills an unlucky target; one enemy crew member dies",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/1/16/Talent_boarding_sniper_partinggift_normal.png?version=00fb84fcd99f46548affe73789e2b0b2
pay,Perceptive Boss,Quartermaster,1,"When paying your crew, your intuition grants a 30% + Command Skill chance to learn hidden Trait from among your crew",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Perfected Approach,Hyperwarp Navigator,5,"Faultless tracking of the enemy allows rapid closing. Buffs Ship with +1 Reactor Pts, +5% Shield, +25 Range Change, -10 Escape for next 2 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
xeno,Perilous Study,Engineer,11,"When encountering a xeno ship, rapid analysis of the ship's scanner data reveals new findings about the xeno and grants additional Experience reward",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/3/36/Talent_engineer_xeno_normal.png?version=b2cf388db8e30e801ed304356e5290ed
explore,Persistent Search,Exo-Scout,1,"While Exploring a Wild Zone, increase reward by 10% + Explore Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/c/c1/Talent_explorer_passive_bonus_normal.png?version=52850e2f1a05e22a454caa14442cadec
,Pinning Shot,Pistoleer,1,"In crew combat, Crippling Pistol Attack; successful hit Pins Target and causes -20% Parry, -20% Dodge, -10% Armor for 2 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Plas-Charge Slugs,Exo-Scout,11,"In crew combat, Crippling Rifle Attack with +20 Plasma, +10% Armor Piercing; successful hit causes -25% Armor, -16 Plasma Shielding for 3 Turns, knocks target back 1 slot",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
explore,Plentiful Rewards,Explorer,1,"While Exploring a Wild Zone, increase reward by 10% + Explore Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/c/c1/Talent_explorer_passive_bonus_normal.png?version=52850e2f1a05e22a454caa14442cadec
,Political Hooks,Diplomat,11,"Increase Conflict Score bonus by 10% + Faction Rank when impacting a Conflict through Missions, Spying, Blockade or Patrol",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/4/47/Talent_diplo_politicalhooks_normal.png?version=5f980850da80e7c5723b6aab7e15d4fd
landing,Port Maintenance,Engineer,1,"Upon landing, automatically repairs damage to 2 to 4 Ship Components equal to 10% up to Repair skill",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/7/76/Talent_engineer_portmaint_normal.png?version=2269596c082cee96dc7dc02b7d330f51
mission,Power Play,Military Officer,1,"When completing steps in a Mission, increase Faction Reputation bonuses by Charisma %",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/1/1d/Talent_increase_mission_rep_normal.png?version=498bc7579f1c04268b3164a1e8a31cad
,Precision Action,Commander,8,Purges your Ship of both Crew and Ship Crippling Effects,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
mutiny,Quell Mutiny,Commander,5,Powerful words from a strong leader pull the crew together. The mutiny ends and Morale of the entire crew is increased by 10 + Command skill,26 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/d/df/Talent_commander_quell_mutiny_normal.png?version=9d8ae43d476e219b83d0c74d44f218fc
on init,Raining Steel,Pistoleer,1,"When making Initiative Roll in Crew Combat, Buff yourself with +3 Initiative, +15% Ranged Damage, +15% Critical for 3 Turns",Chance to activate at the start of each combat turn,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Raking Fire,Gunner,1,"Softening your target increases the damage of every additional hit. If any ship weapons hit, this Crippling Attack causes -25% Shield, -10% Armor for the next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Rallying Aura,Commander,1,"In crew combat, Buffs entire team with +10% All Damage, +10% Critical, +10% Armor for 3 Turns and Restores (10 + 0 Command) Morale",Costs 12 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Rallying Cry,Quartermaster,5,"Buffs Ship with 20% Protection against Crew and Morale Dmg/Turn for next 2 Turns, Purges your Ship's Crew of any Crippling Effects, Restores Intimidate Skill worth of Morale to 20 Crew",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Rapid Fire,Pistoleer,11,"In crew combat, Crippling Pistol Attack hits 2 targets causes +16 Bleeding, -10% Deflection for 2 Turns",Costs 2X Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Rash Courage,Swordsman,1,"In crew combat, Buff yourself with +30% Blade Accuracy, +30% Melee Damage, +10% Armor Piercing, -10% Armor for 4 Turns, advances 1 slot",Costs 6 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Reactor Surge,Mechanic,11,"Buffs Ship with +3 Reactor Pts, +20% Accuracy, Self-inflicts +10 Component Dmg/Turn, Self-inflicts +10 Crew Dmg/Turn for next 1 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
skill save,Read Charts,Hyperwarp Navigator,1,"Automatically passes a failed Navigation test in any situation, including hyperwarp jumps or deep space travel",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/a/a5/Talent_skill_navigation_normal.png?version=7518038f151f45d2344a325f468175a5
recruit,Recruiter's Eye,Military Officer,5,"When Recruiting, discover one Trait from a new crew member. Your newly hired Recruit gains improved Attributes",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
mission,Red Badge,Bounty Hunter,5,"When completing steps in a Mission and bearing an Edict of the sponsoring Faction, your fearsome prestige reduces your Reputation loss by up to Intimidate Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/c/cf/Talent_reduce_mission_rep_edict_normal.png?version=52b8d0054bbbae33f37b12d98b146ced
explore,Reduced Exposure,Explorer,5,"While Exploring a Wild Zone, remove a risk card",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/d/db/Talent_explorer_remove_normal.png?version=0bdf4de7fa50ea11a4ebdfa2bf964158
,Regimented Order,Quartermaster,11,"Buffs Ship with 40% Protection against Crew Dmg for next 2 Turns, Purges your Ship's Crew of any Crippling Effects",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
spice,Relaxing Leave,Crew Dog,1,"When passing the Spice plate in the Hall, grant all other revelers a Morale bonus equal to 30% of your Charisma",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/9/98/Talent_crewdog_relaxing_normal.png?version=6b4ef51b42a9df564d28e48403c5d454
mission,Reliable Hand,Quartermaster,5,Increases your payment for every step in a Mission by 10% + Intimidate Skill,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2c/Talent_increase_mission_pilot_normal.png?version=da00b2b5f1e1546545fef6b8e7bf80e0
,Resolute Hound,Bounty Hunter,8,"In crew combat, Removes all Debuffs; Buff yourself with +25% Armor for 3 Turns, Heals (5 + 0 Intimidate) HP and Morale",Costs 8 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
explore,Resolute Hunter,Exo-Scout,11,"While Exploring a Wild Zone, replace a risk card with an Artifacts reward card",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/d/d5/Talent_explorer_xeno_normal.png?version=a46b2eda9601c63a79182c8d23165a27
,Retribution Justice,Zealot,5,"Increase Conflict Score bonus by 10% + Faction Rank when impacting a Conflict through Missions, Spying, Blockade or Patrol",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
trade,Righteous Profits,Merchant,8,"When executing a trade at the Exchange worth over $5,000, barters for better price by 10% + Negotiate Skill",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/6/67/Talent_merchant_profits_normal.png?version=02faad739a74df13a08b1a7aa3c191fb
rank,Righteous Rank,Zealot,1,Price for military Rank is discounted by 10% + Command Skill,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/9/91/Talent_money_rank_normal.png?version=bb57edc1f923121682c46a668435a3a1
victory,Rigorous Search,Pirate,1,A pirate's keen sense for treasure sniffs out secret hideaways from defeated Smugglers; new lootable cargo is added,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Roaring Barrels,Soldier,1,"In crew combat, Rifle Attack with +25% Ranged Damage, +20% Armor Piercing and removes all Buffs from target",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
victory,Rough Interrogation,Zealot,1,"Upon victory in ship combat, thoroughly questioning the enemy crew creates up to your Intimidate Skill in Intel Records but causes further Rep loss",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/7/77/Talent_zealot_interrogation_normal.png?version=01676c9de349b2fe1a1dac529f33a46c
,Rushed Patches,Mechanic,8,"Purges Ship of any Crippling Ship Effects, Repairs 10% Dmg to Ship Components",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
skill save,Safety Protocols,Crew Dog,1,"Automatically passes a failed Ship Ops test in any situation, including deep space travel, landing, or hyperwarp jumps",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/52/Talent_skill_shipops_normal.png?version=0ad8248b443736c78bb418c69f55573e
,Scattershot,Gunner,8,"If any ship weapons hit, this Crippling Attack causes -10% Armor, -25 Range Change, -10 Escape for the next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Scorn,Commander,11,"In crew combat, intimidating command hits 2 targets causes -4 Initiative, -25% Deflection for 2 Turns",Costs 8 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
spy,Scouring Search,Spy,5,"When Spying in the orbit of a system, replace a risk card with an Intel Records reward card.",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2a/Talent_spy_upgrade_normal.png?version=2bdb1bdc7f6753e85f0d2f5c27337ba4
skill save,Scout's Intuition,Exo-Scout,1,Automatically passes a failed Explore test in any situation; including Exploration or during a mission,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/e/e8/Talent_skill_explorer_normal.png?version=77cc70106c11a2cf4fcfde042269e84a
,Second Shadow,Quartermaster,11,"Watching crew like a hawk, saves a life during ship combat, blockade, spying, patrol or black market. Crew member is restored to HP equal to Command Skill + 3 x Medical Rating of onboard medical components",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
landing,Secrets Unbound,Spy,11,"Upon landing in an Urban Zone, 10% + Electronics Skill chance to gather Intel Records about the local Faction",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/1/10/Talent_spy_secretsunbound_normal.png?version=fa517e14870bee4d1a31e2924a0ff450
skill save,Settlement,Diplomat,1,"Automatically passes a failed Negotiate test in any situation; including deep space travel, mutiny or during a mission",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/3/3b/Talent_skill_negotiate_normal.png?version=e345e67d2d7c0ed124a2aa26ff8bf384
,Shadowed Fire,Spy,1,"In crew combat, Pistol Attack with +25% Ranged Damage, +25% Armor Piercing, +25% Critical; Requires Stealth Mode to use",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Sharp Counter,Swordsman,1,"In crew combat, Blade Attack. Successful attack Buffs yourself with +25% Parry, +10% Armor, Counter-attacks enemy attacker in front 2 rows, 50% chance to end after each counter for 3 Turns",Costs 1.5X Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Sharp Steering,Pilot,1,"Buffs Ship with +15 Range Change, +10 Escape for next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Shredding Shots,Bounty Hunter,11,"In crew combat, Crippling Rifle Attack causes +20 Bleeding, -20% Deflection for 2 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
mission,Shrewd Dealings,Commander,8,"When accepting a Mission, gain a (Charisma + Command %) chance to discover one of your Contact's hidden Traits",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Signature Homing,Gunner,1,"Closing in and locking on makes it hard to dodge your fire. If any ship weapons hit, this Crippling Attack causes -25% Defense, -10% Armor for the next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Signature Jammer,Electronics Tech,1,"Masks ship's signal to prevent identification. When ending a ship encounter in a draw, reduce possible Reputation damage by up to Electronics Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/8f/Talent_elo_signjam_normal.png?version=6a7cf46767a3d38a4771a8abe1f744d3
rank,Silver Tongue,Diplomat,1,Price for military Rank is discounted by 10% + Negotiate Skill,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/9/91/Talent_money_rank_normal.png?version=bb57edc1f923121682c46a668435a3a1
,Skewering Thrust,Swordsman,8,"In crew combat, Blade Attack hits 2 targets with +25% Blade Accuracy, -15% Ranged Damage, +10% Melee Damage, +15% Armor Piercing, advances 1 slot",Costs 2X Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
encounter,Skip Off the Void,Hyperwarp Navigator,11,"Use a short-burst of the hyperwarp drive to 'bounce' a short distance and escape ship combat. Causes 30-70% Damage to the drive, mitigated by entire crew's Navigation Skill and burns Fuel equal to a hyperwarp jump",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/f/ff/Talent_nav_skipvoid_normal.png?version=9b8cdd0eeaa60dd98623444b751d266d
,Slashing Retreat,Swordsman,1,"In crew combat, Blade Attack, retreats 1 slot. Successful attack Buffs yourself with +10% Armor Piercing, +25% Parry, +25% Dodge, +10% Armor for 2 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
trade,Slippery Trader,Smuggler,5,"When trading into a Trade Ban or War, reduces the Rep penalty by 30% + double Negotiate Skill",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/e/e3/Talent_trade_into_conflict_smuggler_normal.png?version=50ddb97c0102f85c30b5b91cd41d616c
skill save,Sly Move,Spy,1,"Automatically passes a failed Stealth test in any situation; including exploring, landing or during a mission",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/1/14/Talent_skill_stealth_normal.png?version=f85dd802c4749e50e4df403f749a1f93
,Snakebite,Combat Medic,11,"In crew combat, Crippling Pistol Attack causes -25% Dodge, -15 Bio-Poison Resist for 3 Turns, knocks target back 1 slot",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Sneak Attack,Spy,8,"In crew combat, Crippling Pistol Attack with +10% Ranged Damage, +10% Critical; successful hit 50% Stun target and causes -4 Initiative for 3 Turns; Requires Stealth Mode, ends Stealth Mode on use",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Solace in Battle,Doctor,11,"Purges your Ship of both Crew and Ship Crippling Effects, Restores Doctor Skill worth of Morale to 20 Crew",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Staggering Hit,Sniper,5,"In crew combat, Crippling Rifle Attack with +50% Armor Piercing, +10% Critical; successful hit causes +28 Bleeding, -20% Deflection for 2 Turns, knocks target back 1 slot; Requires Stealth Mode to use",Costs 1.5X Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
spy,Static Talks,Electronics Tech,5,"When Spying in the orbit of a system, learn a Rumor when scoring a positive result",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/55/Talent_spy_passive_rumor_normal.png?version=4274f3508e21883f0ac8d8d28a1fc769
,Steadfast Aim,Bounty Hunter,1,"In crew combat, Rifle Attack. Successful attack Buffs yourself with +25% Ranged Accuracy, +25% Ranged Damage, +20% Armor Piercing for 2 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Steady Hands,Commander,1,"Buffs Ship with +20% Defense for next 3 Turns, Purges your Ship's Crew of any Crippling Effects, Restores Command Skill worth of Morale to 10 Crew",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
